time, Active Inputs (Actor State [ActiveInput])*, Total Active Inputs, Enabled Transitions (Actor State [NumberOfEnabledTransitions])*, Total Enabled Transitions, Transition Durations (Actor State [TransitionDuration])*, Total Transitions, TaskStarts, TaskStops, Op Tempo
0,,0,(MissionManager IDLE [1]),1,,0,,,0
5,(MissionManager IDLE [MM_START_PEP_TALK_MM__MM_STOP_PEP_TALK_MM]),1,(MissionManager IDLE [1]),1,(MissionManager IDLE [5]),5,([MM_START_PEP_TALK_MM__MM_STOP_PEP_TALK_MM]),,0
7,(MissionManager WAVE [MM_START_WAVE_MM__MM_STOP_PEP_TALK_MM])(Operator IDLE [MM_WAVE_OP]),2,(MissionManager WAVE [1])(Operator IDLE [1]),2,(MissionManager WAVE [2]),2,([MM_START_WAVE_MM__MM_STOP_PEP_TALK_MM]),,0
9,(Operator IDLE [MM_WAVE_OP])(Operator IDLE [OP_START_FLATTERED_OP__OP_STOP_FLATTERED_OP]),2,(MissionManager WAVE [1])(Operator IDLE [1]),2,(Operator IDLE [2]),2,([OP_START_FLATTERED_OP__OP_STOP_FLATTERED_OP]),,0
10,,0,,0,,0,,,0.3
11,(MissionManager WAVE [OP_WAVE_MM])(Operator WAVE [MM_WAVE_OP])(Operator WAVE [OP_START_WAVE_OP__OP_STOP_FLATTERED_OP]),3,(MissionManager WAVE [2]),2,(Operator WAVE [2]),2,([OP_START_WAVE_OP__OP_STOP_FLATTERED_OP]),,0
13,(MissionManager SPEAK [MM_STOP_WAVE_MM__MM_START_SPEAK_MM])(MissionManager SPEAK [OP_WAVE_MM])(Operator WAVE [MM_HELLO_OP]),3,(Operator WAVE [1]),1,(MissionManager SPEAK [2]),2,([MM_STOP_WAVE_MM__MM_START_SPEAK_MM]),,0
15,(MissionManager SPEAK [OP_HELLO_MM])(Operator IDLE [OP_STOP_WAVE_OP])(Operator IDLE [MM_HELLO_OP]),3,(MissionManager SPEAK [1]),1,(Operator IDLE [2]),2,,([OP_STOP_WAVE_OP]),0
17,(MissionManager LEAVE [MM_STOP_SPEAK_MM])(MissionManager LEAVE [OP_HELLO_MM]),2,(MissionManager LEAVE [1]),1,(MissionManager LEAVE [2]),2,,([MM_STOP_SPEAK_MM]),0
18,,0,,0,(MissionManager DONE [1]),1,,,0
20,,0,,0,,0,,,0.5
